First Uniprot ID,First gene symbol,Trimmed first Uniprot ID,Trimmed first gene symbol,Protein,0_0 vs 12_0 log2FC,0_0 vs 12_0 adj.pvalue,0_0 vs 0_100 log2FC,0_0 vs 0_100 adj.pvalue,0_0 vs 12_100 log2FC,0_0 vs 12_100 adj.pvalue,Invasive vs Proliferative 0_0 log2FC,Invasive vs Proliferative 0_0 adj.pvalue,Invasive vs Proliferative 12_0 log2FC,Invasive vs Proliferative 12_0 adj.pvalue,Invasive vs Proliferative 0_100 log2FC,Invasive vs Proliferative 0_100 adj.pvalue,Invasive vs Proliferative 12_100 log2FC,Invasive vs Proliferative 12_100 adj.pvalue
Q8WWY3-3,NA,Q8WWY3,PRPF31,Q8WWY3-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWY3-4,NA,Q8WWY3,PRPF31,Q8WWY3-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWY6,MBD3L1,Q8WWY6,MBD3L1,Q8WWY6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWY7,WFDC12,Q8WWY7,WFDC12,Q8WWY7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWY8,LIPH,Q8WWY8,LIPH,Q8WWY8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ1,IL1F10,Q8WWZ1,IL1F10,Q8WWZ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ1-2,NA,Q8WWZ1,IL1F10,Q8WWZ1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ3,EDARADD,Q8WWZ3,EDARADD,Q8WWZ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ3-2,NA,Q8WWZ3,EDARADD,Q8WWZ3-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ4,ABCA10,Q8WWZ4,ABCA10,Q8WWZ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ4-2,NA,Q8WWZ4,ABCA10,Q8WWZ4-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ4-3,NA,Q8WWZ4,ABCA10,Q8WWZ4-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ4-4,NA,Q8WWZ4,ABCA10,Q8WWZ4-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ4-5,NA,Q8WWZ4,ABCA10,Q8WWZ4-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ7,ABCA5,Q8WWZ7,ABCA5,Q8WWZ7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ7-2,NA,Q8WWZ7,ABCA5,Q8WWZ7-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ7-3,NA,Q8WWZ7,ABCA5,Q8WWZ7-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ8,OIT3,Q8WWZ8,OIT3,Q8WWZ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WWZ8-2,NA,Q8WWZ8,OIT3,Q8WWZ8-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX39,LCN9,Q8WX39,LCN9,Q8WX39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX77,IGFBPL1,Q8WX77,IGFBPL1,Q8WX77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8WX92,NELFB,Q8WX92,NELFB,Q8WX92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
