pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AAAGACA_MIR511,0.152212389380531,0.686589934306966,0.149207542435322,-0.624507899724227,-1.31604110553496,13,ENSG00000136231|ENSG00000035687|ENSG00000143924|ENSG00000112739|ENSG00000145012|ENSG00000108848|ENSG00000214114
AAAGGAT_MIR501,0.983636363636364,1,0.042077210988939,-0.253568499376696,-0.513462836693194,11,ENSG00000055130|ENSG00000213639|ENSG00000072501|ENSG00000100941
AAAGGGA_MIR204_MIR211,0.773869346733668,0.958435701513171,0.0684714904492088,0.324259819867814,0.826197310418032,26,ENSG00000092820|ENSG00000108582
AAAYRNCTG_UNKNOWN,0.0942148760330578,0.602688309762312,0.186432558434075,-0.566212394210491,-1.35504505501329,24,ENSG00000178209|ENSG00000069345|ENSG00000266028|ENSG00000100664|ENSG00000205542|ENSG00000073050
AAAYWAACM_HFH4_01,0.133928571428571,0.668449603006243,0.160801401070022,-0.64531627699226,-1.33488053599496,12,ENSG00000100603|ENSG00000233276|ENSG00000138413|ENSG00000124160|ENSG00000213639
AACATTC_MIR4093P,0.249090909090909,0.759009251520698,0.114750719227023,-0.58756395939516,-1.18978602654242,11,ENSG00000088247|ENSG00000015479|ENSG00000063046
AACTGGA_MIR145,0.416118421052632,0.858358250966712,0.0785029047348687,-0.438048695999134,-1.01249103607263,19,ENSG00000266028|ENSG00000106993|ENSG00000090520|ENSG00000063046|ENSG00000100442
AACTTT_UNKNOWN,0.0476190476190476,0.500170068027211,0.241339976815091,-0.421201479079922,-1.30754234393265,131,ENSG00000239306|ENSG00000149257|ENSG00000189403|ENSG00000100603|ENSG00000170604|ENSG00000069345|ENSG00000119669|ENSG00000123384|ENSG00000104805|ENSG00000160014|ENSG00000054118|ENSG00000005249|ENSG00000100664|ENSG00000197930|ENSG00000158623|ENSG00000055130|ENSG00000158545|ENSG00000233276|ENSG00000167770|ENSG00000112739|ENSG00000145833|ENSG00000170759|ENSG00000106299|ENSG00000140350|ENSG00000198900|ENSG00000138069|ENSG00000184743|ENSG00000131171|ENSG00000026025|ENSG00000164885|ENSG00000104408|ENSG00000168036|ENSG00000145882|ENSG00000125977|ENSG00000148444|ENSG00000124160|ENSG00000108848|ENSG00000105185
AACWWCAANK_UNKNOWN,0.336363636363636,0.810550104729357,0.0959206777921745,-0.551706605578281,-1.11717677636985,11,ENSG00000136231|ENSG00000184743
AACYNNNNTTCCS_UNKNOWN,0.731164383561644,0.945130689880469,0.0529129848430584,-0.367312935948514,-0.810574061557709,16,ENSG00000104805|ENSG00000143947|ENSG00000110107|ENSG00000108091|ENSG00000174243|ENSG00000105723|ENSG00000213024
AAGCAAT_MIR137,0.0631229235880399,0.543373617200981,0.231126709673834,-0.609847265149454,-1.44195750989118,22,ENSG00000178209|ENSG00000153201|ENSG00000105887|ENSG00000106993|ENSG00000117505|ENSG00000244462|ENSG00000130741|ENSG00000011485
AAGCACA_MIR218,0.299003322259136,0.788123808420651,0.09754492162472,-0.467441017160821,-1.13801703274202,27,ENSG00000146676|ENSG00000113368|ENSG00000266028|ENSG00000005249|ENSG00000188021|ENSG00000108091|ENSG00000043093
AAGCACT_MIR520F,0.542713567839196,0.897322005083238,0.065981614400873,-0.40766524231424,-0.931372372984196,18,ENSG00000146676|ENSG00000069345|ENSG00000187522
AAGCCAT_MIR135A_MIR135B,0.0804020100502513,0.570820305510655,0.252961123069611,0.526419421030859,1.34128955596414,26,ENSG00000117448|ENSG00000102753|ENSG00000108582|ENSG00000168906|ENSG00000101421|ENSG00000005022|ENSG00000088832
AAGWWRNYGGC_UNKNOWN,0.179442508710801,0.719661615367137,0.135002033828631,-0.599887361578852,-1.28464249382193,14,ENSG00000092201|ENSG00000102317|ENSG00000100664|ENSG00000116560
