pathway,pval,padj,log2err,ES,NES,size,leadingEdge
REACTOME_RRNA_PROCESSING,7.92873935638361e-08,0.000168578,0.704975715,-0.592870639,-2.089823119,106,ENSG00000142937|ENSG00000174444|ENSG00000108592|ENSG00000065183|ENSG00000112578|ENSG00000117395|ENSG00000055044|ENSG00000198242|ENSG00000233927|ENSG00000291938|ENSG00000144713|ENSG00000136942|ENSG00000163811|ENSG00000115053|ENSG00000066654|ENSG00000130255|ENSG00000100316|ENSG00000039123|ENSG00000089009|ENSG00000077348|ENSG00000172809|ENSG00000122406|ENSG00000197728|ENSG00000149806|ENSG00000186468|ENSG00000122026|ENSG00000119285|ENSG00000223496|ENSG00000198755|ENSG00000292158|ENSG00000116251|ENSG00000142534|ENSG00000280858|ENSG00000213741|ENSG00000137154|ENSG00000109475|ENSG00000114391|ENSG00000174748|ENSG00000223367|ENSG00000171858|ENSG00000197958|ENSG00000131469|ENSG00000161956|ENSG00000108298|ENSG00000161970|ENSG00000063177|ENSG00000037241|ENSG00000135372|ENSG00000105640|ENSG00000130826|ENSG00000164587|ENSG00000278229
REACTOME_MRNA_SPLICING,3.20509938114581e-07,0.000511093,0.67496286,-0.604754606,-2.05350432,92,ENSG00000169976|ENSG00000135829|ENSG00000099995|ENSG00000170144|ENSG00000145833|ENSG00000167978|ENSG00000131013|ENSG00000175467|ENSG00000284254|ENSG00000100941|ENSG00000136450|ENSG00000282947|ENSG00000122566|ENSG00000116350|ENSG00000039123|ENSG00000111786|ENSG00000109606|ENSG00000198258|ENSG00000100603|ENSG00000117751|ENSG00000126698|ENSG00000087365|ENSG00000291508|ENSG00000174243|ENSG00000183431|ENSG00000108848|ENSG00000117360|ENSG00000169564|ENSG00000150316|ENSG00000160799|ENSG00000021776|ENSG00000164167|ENSG00000189091|ENSG00000224979|ENSG00000130520|ENSG00000112739|ENSG00000292204|ENSG00000115524|ENSG00000274442|ENSG00000122692|ENSG00000084463|ENSG00000126945|ENSG00000130332
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,2.94543324762734e-07,0.000511093,0.67496286,-0.562766502,-2.024744365,120,ENSG00000169976|ENSG00000135829|ENSG00000099995|ENSG00000170144|ENSG00000153201|ENSG00000145833|ENSG00000167978|ENSG00000131013|ENSG00000175467|ENSG00000284254|ENSG00000100941|ENSG00000136450|ENSG00000069248|ENSG00000282947|ENSG00000122566|ENSG00000116350|ENSG00000039123|ENSG00000111786|ENSG00000109606|ENSG00000198258|ENSG00000047410|ENSG00000100603|ENSG00000205323|ENSG00000117751|ENSG00000165934|ENSG00000126698|ENSG00000167005|ENSG00000087365|ENSG00000030066|ENSG00000125755|ENSG00000291508|ENSG00000174243|ENSG00000183431|ENSG00000108848|ENSG00000117360|ENSG00000169564|ENSG00000150316|ENSG00000160799|ENSG00000021776|ENSG00000164167|ENSG00000189091|ENSG00000224979|ENSG00000130520|ENSG00000112739|ENSG00000292204|ENSG00000115524|ENSG00000274442|ENSG00000125676|ENSG00000122692|ENSG00000084463|ENSG00000126945|ENSG00000130332
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,4.3846337129961e-07,0.000621497,0.67496286,-0.587590075,-2.009316385,96,ENSG00000214753|ENSG00000110063|ENSG00000169976|ENSG00000135829|ENSG00000079785|ENSG00000099995|ENSG00000170144|ENSG00000099622|ENSG00000102317|ENSG00000239306|ENSG00000145833|ENSG00000167978|ENSG00000175467|ENSG00000088247|ENSG00000115053|ENSG00000100941|ENSG00000136450|ENSG00000122566|ENSG00000116350|ENSG00000116560|ENSG00000039123|ENSG00000111786|ENSG00000109606|ENSG00000198258|ENSG00000100603
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,4.89993744257178e-06,0.00625085,0.610526878,-0.494026501,-1.833532762,153,ENSG00000142937|ENSG00000108592|ENSG00000169976|ENSG00000135829|ENSG00000079785|ENSG00000065183|ENSG00000099995|ENSG00000112578|ENSG00000117395|ENSG00000055044|ENSG00000113460|ENSG00000145833|ENSG00000107833|ENSG00000233927|ENSG00000188976|ENSG00000135821|ENSG00000175467|ENSG00000136942|ENSG00000163811|ENSG00000136450|ENSG00000136045|ENSG00000039123|ENSG00000111786|ENSG00000198042|ENSG00000077348|ENSG00000172809|ENSG00000122406|ENSG00000100664|ENSG00000149806|ENSG00000053372|ENSG00000186468|ENSG00000119285|ENSG00000087365|ENSG00000223496|ENSG00000084623|ENSG00000142534|ENSG00000137154|ENSG00000114391|ENSG00000174243|ENSG00000183431|ENSG00000171858|ENSG00000108848|ENSG00000064703|ENSG00000131469|ENSG00000117360|ENSG00000161970|ENSG00000139842|ENSG00000164167|ENSG00000037241|ENSG00000135372|ENSG00000189091
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,5.74129290314753e-06,0.006658334,0.610526878,-0.609839356,-2.000849321,71,ENSG00000142937|ENSG00000174444|ENSG00000198242|ENSG00000233927|ENSG00000144713|ENSG00000136942|ENSG00000130255|ENSG00000100316|ENSG00000089009|ENSG00000172809|ENSG00000122406|ENSG00000197728|ENSG00000149806|ENSG00000186468|ENSG00000122026|ENSG00000167658|ENSG00000198755|ENSG00000292158|ENSG00000116251|ENSG00000142534|ENSG00000280858|ENSG00000213741|ENSG00000137154|ENSG00000109475|ENSG00000114391|ENSG00000174748|ENSG00000223367|ENSG00000171858|ENSG00000197958|ENSG00000131469|ENSG00000108298|ENSG00000161970|ENSG00000063177|ENSG00000037241|ENSG00000105640|ENSG00000164587|ENSG00000278229|ENSG00000161016
GOBP_MRNA_METABOLIC_PROCESS,9.99278714579276e-06,0.009805999,0.593325476,-0.463311421,-1.73518186,169,ENSG00000136231|ENSG00000214753|ENSG00000138385|ENSG00000131981|ENSG00000110063|ENSG00000169976|ENSG00000135829|ENSG00000079785|ENSG00000099995|ENSG00000170144|ENSG00000099622|ENSG00000102317|ENSG00000239306|ENSG00000145833|ENSG00000167978|ENSG00000177733|ENSG00000175467|ENSG00000026025|ENSG00000088247|ENSG00000115053|ENSG00000197747|ENSG00000100941|ENSG00000136450|ENSG00000122566|ENSG00000116350|ENSG00000116560|ENSG00000039123|ENSG00000111786|ENSG00000077348|ENSG00000109606|ENSG00000198258|ENSG00000100603|ENSG00000117751|ENSG00000165934|ENSG00000053372|ENSG00000162664|ENSG00000130254|ENSG00000167005|ENSG00000087365|ENSG00000223496
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,9.82761544078589e-06,0.009805999,0.593325476,-0.604355015,-1.982818395,73,ENSG00000142937|ENSG00000174444|ENSG00000198242|ENSG00000233927|ENSG00000144713|ENSG00000136942|ENSG00000130255|ENSG00000100316|ENSG00000089009|ENSG00000172809|ENSG00000122406|ENSG00000197728|ENSG00000149806|ENSG00000186468|ENSG00000122026|ENSG00000198755|ENSG00000292158|ENSG00000116251|ENSG00000142534|ENSG00000280858|ENSG00000213741|ENSG00000137154|ENSG00000109475|ENSG00000114391|ENSG00000174748|ENSG00000223367|ENSG00000171858|ENSG00000197958|ENSG00000131469|ENSG00000108298|ENSG00000161970|ENSG00000063177|ENSG00000037241|ENSG00000105640|ENSG00000164587|ENSG00000278229|ENSG00000134001|ENSG00000161016
GNF2_ST13,1.59264375010761e-05,0.013544904,0.575610261,-0.696014106,-2.038360848,40,ENSG00000174444|ENSG00000087302|ENSG00000144713|ENSG00000136045|ENSG00000100316|ENSG00000089009|ENSG00000172809|ENSG00000122406|ENSG00000186468|ENSG00000107625|ENSG00000198755|ENSG00000116251|ENSG00000137154|ENSG00000114391|ENSG00000174748|ENSG00000197958|ENSG00000131469|ENSG00000108298
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,1.58071287300338e-05,0.013544904,0.575610261,-0.711315609,-2.056825306,38,ENSG00000174444|ENSG00000198242|ENSG00000144713|ENSG00000136942|ENSG00000130255|ENSG00000100316|ENSG00000089009|ENSG00000172809|ENSG00000122406|ENSG00000122026|ENSG00000198755|ENSG00000116251|ENSG00000109475|ENSG00000114391|ENSG00000174748|ENSG00000197958|ENSG00000131469|ENSG00000108298|ENSG00000161970|ENSG00000063177|ENSG00000037241|ENSG00000105640|ENSG00000161016
