pathway,pval,padj,log2err,ES,NES,size,leadingEdge
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN,0.118760757314974,0.600738458643964,0.16823816568964,0.59130852873802,1.35986583757231,17,ENSG00000147065|ENSG00000071127|ENSG00000147416|ENSG00000173020|ENSG00000100412|ENSG00000071553|ENSG00000110395
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_3DY_DN,0.00164753222418305,0.102417851225933,0.45505986738723,0.821343771686873,1.71215858148058,11,ENSG00000134996|ENSG00000075785|ENSG00000185627
AP1FJ_Q2,0.382133995037221,0.787124960589413,0.107140237276725,-0.371956216261827,-1.04299713013997,35,ENSG00000123213|ENSG00000183386|ENSG00000152767|ENSG00000151176|ENSG00000205323|ENSG00000197747|ENSG00000026025|ENSG00000135862|ENSG00000160014|ENSG00000108819
AP1_01,0.483050847457627,0.835865793758138,0.0723570851036907,0.383992315589973,0.978689273273817,28,ENSG00000084207|ENSG00000104833|ENSG00000074800|ENSG00000187446|ENSG00000175166|ENSG00000113013|ENSG00000103035|ENSG00000197872|ENSG00000111726|ENSG00000108828|ENSG00000145907|ENSG00000197170
AP1_C,0.68935427574171,0.908399369588938,0.0565299525056311,0.348212668760177,0.840084143064842,23,ENSG00000147416|ENSG00000104833|ENSG00000110917|ENSG00000111726|ENSG00000108828|ENSG00000166963|ENSG00000173692|ENSG00000184575|ENSG00000113312|ENSG00000102054
AP1_Q2,0.563549160671463,0.862027737924438,0.0824344091527096,-0.344585726933558,-0.941387101810307,30,ENSG00000123213|ENSG00000183386|ENSG00000152767|ENSG00000151176|ENSG00000197747|ENSG00000026025|ENSG00000138107|ENSG00000135862|ENSG00000160014|ENSG00000108819
AP1_Q2_01,0.958260869565217,0.986748149096829,0.0412376090540066,0.25445663726988,0.597519312660775,19,ENSG00000111674|ENSG00000136950|ENSG00000104833|ENSG00000143198|ENSG00000111726|ENSG00000112208|ENSG00000184575|ENSG00000135723|ENSG00000113312
AP1_Q4,0.736752136752137,0.922657313979963,0.0524827622635459,0.318696991623588,0.823882321298061,30,ENSG00000167553|ENSG00000118939
AP1_Q4_01,0.982547993019197,0.993323955697874,0.0402477565068868,0.229113535388441,0.552750273925033,23,ENSG00000085365|ENSG00000104833|ENSG00000074800|ENSG00000197872|ENSG00000111726|ENSG00000173692|ENSG00000112208|ENSG00000184575|ENSG00000113312|ENSG00000102054
AP1_Q6,0.915540540540541,0.974555399546573,0.0419926218968594,0.269968315122724,0.694086316961953,29,ENSG00000118939|ENSG00000113140|ENSG00000074800|ENSG00000175166|ENSG00000103035|ENSG00000111726|ENSG00000197170|ENSG00000166963
