pathway,pval,padj,log2err,ES,NES,size,leadingEdge
AAAGACA_MIR511,0.214117647058824,0.818799071794311,0.144630528034484,-0.566742870546068,-1.22094070742011,15,ENSG00000136231|ENSG00000035687|ENSG00000120963|ENSG00000145012|ENSG00000112739
AAAGGAT_MIR501,0.79491833030853,0.971207129948853,0.0517405459873163,0.390457901592598,0.75879874465015,11,ENSG00000099940|ENSG00000072501|ENSG00000167720|ENSG00000185129|ENSG00000154174
AAAGGGA_MIR204_MIR211,0.613223140495868,0.9325111605755,0.059476028695732,0.376918518147184,0.907282033599861,30,ENSG00000092820|ENSG00000164134|ENSG00000108582|ENSG00000099942|ENSG00000070831|ENSG00000138246
AAAYRNCTG_UNKNOWN,0.827645051194539,0.973152005938336,0.0470699590082662,0.331602061459478,0.770316709844143,26,ENSG00000145050|ENSG00000070087|ENSG00000136448|ENSG00000099942|ENSG00000123609|ENSG00000176102
AAAYWAACM_HFH4_01,0.607460035523979,0.932487409796063,0.0633597010643758,0.442568452436422,0.910188194022604,14,ENSG00000198830|ENSG00000102805|ENSG00000169299
AACATTC_MIR4093P,0.984513274336283,1,0.051011413203915,-0.233800102584304,-0.489596218850589,12,ENSG00000088247|ENSG00000015479
AACTGAC_MIR223,0.381125226860254,0.880476380434779,0.0886261133285098,0.568813318533686,1.10540683203792,11,ENSG00000102753|ENSG00000131711
AACTGGA_MIR145,0.130641330166271,0.748785501531233,0.190023305279108,-0.553129790610777,-1.31885856515788,22,ENSG00000105810|ENSG00000113558|ENSG00000106993|ENSG00000182827|ENSG00000100442
AACTTT_UNKNOWN,0.397435897435897,0.885993975903615,0.121543282035469,-0.303396141304485,-1.02001359149803,143,ENSG00000105810|ENSG00000233276|ENSG00000198900|ENSG00000123384|ENSG00000104805|ENSG00000149257|ENSG00000239306|ENSG00000069345|ENSG00000189403|ENSG00000119669|ENSG00000160014|ENSG00000148444|ENSG00000181467|ENSG00000100664|ENSG00000168036|ENSG00000055130|ENSG00000170604|ENSG00000165527|ENSG00000005249|ENSG00000120963|ENSG00000100314|ENSG00000103966|ENSG00000115756|ENSG00000106299|ENSG00000131171|ENSG00000158623|ENSG00000102900
AACWWCAANK_UNKNOWN,0.258503401360544,0.834393417787777,0.127505315300183,-0.609716626418273,-1.21870113614654,10,ENSG00000136231
AACYNNNNTTCCS_UNKNOWN,0.778823529411765,0.969819187829808,0.0649407684612899,-0.361951968913393,-0.779757304315837,15,ENSG00000104805|ENSG00000165527|ENSG00000143947|ENSG00000108091|ENSG00000105723
